Sentence,Joy,Split
"Go figure, loss on top of my head and too much hair on my face!",0,0
"At diagnosis I mimic seeing me walking alone in a separate path on the way to a destiny, which was not the same as those walking around me.",0,0
"Next was the radiation doctor, before he open his mouth I told him that I'm not being operated.",0,0
The doctors did x-rays and then a cat scan.,0,0
"I am still experiencing chemo brain, joint pain and am very tired but hoping to feel better very soon!",0,0
No option for me I am er pr pos her2 pos.,0,0
I hope <PERSON> goes through the remainder of her Taxol treatments with no side effects!,0,0
I slept over my lunch hour and break time for at least two weeks after I went back and it helped a lot.,0,0
Its been 6 months since end of effective dose of Firmagon.,0,0
"Then I went to my family doctor, who prescribed a strong anti-depressant to take just before my head hits the pillow.",0,0
"I was able to get out of bed, but had problems walking very far.",0,0
The problem with incontinence is more difficult to overcome because it depends on the skills of the surgeon.,0,0
"Unfortunately, it can't just pick out the cancer and leave everything else alone.",0,0
2 WARRIORS in 1 family - awful.,0,0
"After six massive chemo treatments of taxol & carboplatin, I had 70 radiation treatments.",0,0
He was on the development team of <PERSON> and to date has done over 4000 surgeries.,0,0
"Also, try posting on Inspire.com, as you're likely to get more response there also.",0,0
Please Yve do not give up on getting your chemo or on getting well.,0,0
My dad was diagnosed this past Oct with small cell carcinoma in lung and mets in liver.,0,0
"truthfully, i do not know how my grandson still loves his grandpa some of the things that ""grandpa"" said to him were just awful.",0,0
"I used a Proventil inhaler and that did the trick, and I went Christmas shopping.",0,0
"I am only 59 and am scared at the thoughts of losing my business, then end up losing my house because of that.",0,0
I want to thank everyone for all there support and i will fight this and beat this AGAIN.....,0,0
It seems that most of us are left with some scar tissue.,0,0
I'm sure this info will be helpful to very many members here.,0,0
I had chemo mouth thru most of it.,0,0
"In July, 2007, on my birthday no less, I was diagnosed with Stage I NSC lung cancer.",0,0
I had a lumpectomy in February and started chemo March 31st.,0,0
I hated that catheter ... go with a port!!,0,0
Chemo needles are long and thick and chemo is really hard on veins & mine aren't all that great to begin with.,0,0
Can anyone give me info on Tarceva and Ive heard its expensive?,0,0
I think the post op chemo is the latest method of attack when surgery is an option.,0,0
I smoked for 52 years so I guess i'm one of the guys that deserves it.,0,0
I wish there were more options to help them.,0,0
Appears that it is not much better than flipping a coin for detecting cancer.........,0,0
Cisplatin caused partial hearling loss & tinnitus in my left ear.,0,0
I am doing very well and back in remission.,0,0
I have had five hormone shots that starting in August 2008.,0,0
I would think the CK centers would be turning potential patients away but I have not seen many like yourself on this forum.,0,0
I have done chemo and radiation and currently in chemo again for final treatment.,0,0
A chose a VERY gentle form of yoga that was good for easy stretches and relaxation.,0,0
It started in my left lung as well.,0,0
i am sorry to hear about your husband.,0,0
I was diagnosed at the end of May 2003 & have completed 4 rounds chemo & radiation twice a day for 15 days.,0,0
"What cancer did do for me, is it gave me a big wake up call as to what is really important in life.",0,0
Radiation started on 12/16 but chemo never started.,0,0
My 72 year old father has been diagnosed with <PERSON> with Bone Metastasis in the Breast Bone.,0,0
The tech noticed something on the xray that looked like a lump in my lung.,0,0
Then 4 months later after another PET/SC scan the cancer had reoccurred and spread to his right lung.,0,0
It may never go away but you should feel some improvement within a year or so.,0,0
The rest of the treatments will assure that...just take rads 1 day at a time.,0,0
"I trust the doctors, but I'm curious if anyone else has experience with this same type of cancer?",0,0
With all I have heard bad about it I am afraid to get it.,0,0
You may want to make an appt with the social worker so you can vent your frustrations.,0,0
"Always think positive, like the glass is half full instead of half empty.",0,0
"One could have abruptly ended her life and had to come out, but the other was smaller and in a less dangerous location.",0,0
"Anyway, I have left nothing to their devices.",0,0
This has weakened him greatly due to the throat burning.,0,0
First they did my blood work and I had to wait for that to come back.,0,0
"Like you, I have accepted the fact, but learned not to be scared.",0,0
Just wondering if it is possible to gain weight while on chemo.,0,0
A nott on the left side of my head.,0,0
Keep on top of any side effects before they become too bothersome.,0,0
"Again, the more we know and learn to protect ourselves the better off we are in the long term!",0,0
I was reading the web site but I'm confused.,0,0
Thanks for clarifying the presence of cancer in the lymph node.,0,0
"You may want to find out if you have a genetic mutation, there are some options you can speak to your dr about new treatments.",0,0
So many horror stories mixed in with the good.,0,0
<PERSON>'s passing was a difficult one due to the circumstances and it must be very grievous for you to have gone through.,0,0
Your Mom is in my prayers and remember that this beast can be beat at ANY stage.,0,0
It was diagnoised five years ago.,0,0
I have another one in the upper left lobe which is calcified.,0,0
Sometimes I think that cancer scares others more than us.,0,0
"Be sure to have your bloodwork done routinely to watch your CEA levels, and CT's atleast 2 or 3 times a year to stay on top of your cancer.",0,0
I'll be glad to help any way that I can.,0,0
I hope that you are getting some rest after a very hard day and lots of love and support from your family and friends.,0,0
"she thinks just because she has money she can flaunt the fact she is gay  and bad mouthing people who have cancer,  Hey at least that gal she criticized made  it through.",0,0
What was the point of posting so much spam in a language that very few (if any) who come here could read?,0,0
"So I went to a specialist to have it check, I live in Canada so it takes a long time to see one.",0,0
I've certainly had many more sleep problems since my diagnosis in 2009.,0,0
my dad was just diagnosed with lung cancer e-mail at vanessagill141@yahoo.com,0,0
My sister had lung cancer at age 59 state IV.,0,0
"I feel the same way sometimes, which is why I've been also spending time at Inspire.",0,0
"It wasn't so lite for me--I lost all of my hair, became anemic and my white count dropped to one.",0,0
I believe it was hormonebalance.org That directed me to the millenium wellness clinic in Dayton Ohio where Dr. <PERSON> is doing this.,0,0
"I quit smoking ten years ago, but had a malignant tumor removed from my lung with VATS.",0,0
You know how some people give up chocolate for Lent?,0,0
Unfortunately a renal mets will a still be treated as renal cancer.,0,0
I LOVE my recliner whenever I have any surgery-I am guessing if you have one you have tried it already.,0,0
but there were small places in the all three lobes in the right lung.,0,0
"Hi Tee,
   This is fava, wow what a turn of events!!!",0,0
I also have it on my adrenol glands.,0,0
"I'm 26, never smoked, and don't even have any friends that smoke.",0,0
I read it is a very rare cancer.,0,0
I had breast reconstruction last year at this time on the left side with a tram flap using the abdomin.,0,0
"My breast cancer surgeon had scheduled me to have one placed, but my Oncologist felt I would do fine without it.",0,0
"Last october, i was diagnosed with stage 2 on the left breast.",0,0
"Headache, couldn't sleep, terrible joint pain, dizzy, feeling awful.",0,0
Muck  Your post did make me laugh (not AT you but WITH you).When I had my brachytherapy and woke up the nurse (young and VERY attractive) asked me if I had to urinate.,0,0
I'm surprised you were threatened with a law suit.,0,0
Does anyone know about this 1/2 hour chemo program and if it does or does not work.,0,0
Hang in there your too young too die and your too strong willed to allow it.,0,0
We're all worried and scared of losing our father.,0,0
I'm sure during this fight I will have a lot of questions.,0,0
I am sorry because I just found out today myself.,0,0
Anyone play words with friends on this site?,0,0
thanks for you ideas and encouragement - I wish my dad could get on this website - but he's not computer savy.,0,0
I live in Maryland but live very Delaware line so I am seeking treatment Christianna Hospital Cancer Center in Christianna Delaware.,0,0
My left foot rarely has any numbness now.,0,0
they did a scan to see if the chemo was working and they said it isn't.,0,0
Half estrogen and prog + the other half negative.,0,0
All we can do is trust in God and have faith.,0,0
"However I don't want pneumonia again so I will look into that, thanks.",0,0
this lead to tests that showed  three enlarged lymph nodes.,0,0
God bless you and keep you!,0,0
HI my friend also was DX with lung cancer at about the same time of my colon cancer.,0,0
Im glad no more bad news .Take time and keep yourself busy it will take your mind of things take a few good walks after dinner they strenthen muscles and help recovery .internal wounds take time to heal your doing well .its time to enjoy life now and look to the future take care now and dont forget to smell the roses.Shane59,0,0
"A book named “A Primer on Prostate Cancer – The Empowered Patient’s Guide” by Dr. <PERSON> and <PERSON> is an excellent choice for your spared time.Take care
VGama",0,0
To think I stumbled upon it by accident.,0,0
So had upper left lobectomy in september 2010.now 6 months later have major pain in left ribcage and arm.,0,0
She's had them for years and they still don't know what caused them.,0,0
"Hoping s/e subside quickly, or
that your Onc has new medication to help with your symptoms and discomfort.I am keeping you in prayers, and sending my love via cyberspace.Strength, Courage and HOPE for a Cure.<PERSON>",0,0
Not counting living with the beast for the rest of our lives.,0,0
It is expensive and it was easier for me to wrap my head around injecting myself than the MUSE application (for me)…For me there is no pain when injecting at all plus you can play with the dosages (you cannot do this with MUSE)ED drugs like <PERSON> do work with my experience.,0,0
"When I was hit by a car in the middle of all this treatment, I was out for five weeks solid and they paid me for the entire time.",0,0
I never lost my eyebrows completely during chemo and my eyelashes were very sparse and kind of stubby.,0,0
In the end it turned out to be a bad infection.,0,0
"Many years ago, at age 13, I met <PERSON>.",0,0
"The side effects from blocking the testosterone include hot flashes, weight gain, loss of libido, among others.",0,0
And I always thought it was the glow from the Green Fairy!,0,0
"Had chemo and radiation then chemo again, again I started loosing weight (from 205 to 154).",0,0
Under my left arm where they drain it with a needle is like a large pouch that hangs down.,0,0
"Don't ever apologize for not being ""perfect"" <PERSON>.",0,0
I had my first cytoxan and taxotere treatment last Monday..,0,0
"Also, I am limping with my left foot.",0,0
It's hard to tell if it's from the disease or her being stressed from all of this.,0,0
I had my upper left lobe removed in October and my vocal cords were paralyzed.,0,0
"Still can't move hardly at all, pain strong in left chest, problems swallowing and breathing.",0,0
"(Incidentally, squamous cell cancer IS also classified as a non-small cell cancer when in the lungs (NSCLC)).",0,0
"Recently dignosed with lung cancer in my right lung (2 cm  X  3 cm  mass) (Stage 3), The main concern is that it has spread to my lymph nodes in my chest cavity.",0,0
"I am Happy and doing FINE, Except for shortness of Breath.",0,0
"hi my husband has non small cell..and it is the slow moving cancer,if there is such a thing..all my best.",0,0
Kind of freaking out about it a little cause I just don't know what to expect.,0,0
She had done WBR 10 days and did 4 rounds of carboplatin/alimta and every 9wks zameta( for bones) and they gave her b12 shots every 6 wks.Mom did good on both no nausea or sickness.,0,0
It's really hitting me hard.,0,0
He also has a smaller tumor on his left lung.,0,0
We've been there and know what the fear and uncertainty of the unknown is like.,0,0
I am almost done with the radiation 9 more left and I am really red from it.,0,0
"Additionally, he has become very fatigue and said if he sits or lies down he will fall asleep.",0,0
It sometimes is the littlest of things one should be grateful for.,0,0
"It worked somewhat, as I have out lived the Docs prognosis.",0,0
I get the same flushing viagra gave me but with somewhat better effects.Nick,0,0
Being concerned about severe menopausal side effects I have decided to keep my ovaries.,0,0
They were going to do a lobectomy if the lymph nodes were clean.,0,0
I've had 6 procedures in the last year and a half and I so much want to be done.,0,0
"For instance, you should get a bone densitometry scan for checking any osteopenia/osteoperosis.",0,0
It is so thoughtful of you to be thinking of others as you deal with your loss.,0,0
"Is it abnormal to go this long with this type of incontinence, or am I expecting too much too soon ?",0,0
Pfizer drug effective in patients with rare lung cancer: study,0,0
Best of luck to you Annie!,0,0
If his existing lung disease was improved maybe he could tolerate chemo----but his blood work needs to show that he's stable enough to endure the chemo.,0,0
I was going to my Breast specialist for 12 years getting mammos and ultrasounds every 6 months.,0,0
The physical therapist will get your range of motion back and will probably do lymphedema massage as well.,0,0
Prayers and positive thoughts are coming to your way,0,0
"Many, many new sisters, anxiety about aches and pains, new scans, MRIs, first chemo treatments, hair falling out...",0,0
I spent some money on a wig too.,0,0
They should be able to help you find some information that you need.,0,0
My wife had just started teaching again back in August 2012 since our youngest ones were in K4 and k5.,0,0
This site has been a very informative site to read.,0,0
I am now coughing a lot of blood which I didn't do before.,0,0
"Other than encouraging your mother to go for chemo, my suggestions to help her get through it is to care for her as much as possible: feeding, bathing, helping her walk to the car (get a wheelchair) to get to her appointments.",0,0
I'm really surprised that your nurse was not familiar with the side effects.,0,0
this treatment and are on your way back.......I wish you the best.,0,0
I am 15 years past diagnosis diagnosed age 34.,0,0
I tell you this because I keep coming back to this site for support and answers.,0,0
It is not the Drummer Boy that is my favorite.,0,0
I will keep you and your family in my prayers.,0,0
The drs were all so surprised about how well she was doing.,0,0
My 58 year old mother was diagnosed in October with limited stage SCLC.,0,0
This entity has arisen out of changing demographics of prostate cancer and changing treatment patterns.,0,0
he needs to go now lol.,0,0
"I guess I can't really tell you that using your own tissue is better, it was not for me.",0,0
I am not 100% convinced that most lung nodules are benign.,0,0
Excellent insight- thanks for sharing that info.,0,0
Yes this is the post op pathology report.,0,0
Thats a white bag with a light in it and a dedication to her.,0,0
Feel better about getting a flu shot now.,0,0
"Just chiming in with general frustration...Certainly, I'll be hoping this will be resolved with as little $ coming out of your own pocket as possible.Frickin' insurance companies!Kind regards, <PERSON>",0,0
"His mets were to the brain,<PERSON> nodes,right rib.",0,0
"When they do the tx, visualize the cancer cells coming together,and tell them to get out!",0,0
The vertebrae were repaired by kyphoplasty but other pain persisted.,0,0
"Then pet/ct scan, inconclusive, and biopsy found sclc afterwards.",0,0
"What I need to know is how much I should I be walking and moving around this first week, being still fairly sore.",0,0
So they just had no answers but your lungs are in bad shape were sending you home with oxygen and we got the insurance company to pay since you have to have your sats at 88 and below and moms while walking the hallway at the hospital was 86.,0,0
Biopsy results can take anywhere from 72 hrs to 1 week.,0,0
"In may, 1999 I was diagnosed with lung cancer but have been in remission.",0,0
We're in winter and they can both go down causing issues.<PERSON>,0,0
I proceded with surgery & radiation.,0,0
They all experienced muscle aches and some numbness in fingers and toes.,0,0
She will be starting chemo in a few weeks Taxol and <PERSON> are what the doctors plan on using for her treatment.,0,0
There is a blog and a page on Facebook called,0,0
I'm so loss becasue his father die in 1987 of lung cancer at age of 72yrs.,0,0
Finding out what worked was truly trial and error and don't be afraid to try weird stuff.,0,0
He wasn't giving me any attention and sometimes not backing me if our son and his wife did things to upset me.,0,0
We are all just a computer click away.,0,0
"A shot of green tea in a glass of tequila to celebrate Cinco De Mayo, a wonderful holiday here in the United States.",0,0
"My husband has stage 4 nsclc and was given a year with treatment, a year ago.",0,0
"Even if it is malignant, chemo does not automatically follow.",0,0
"She's due for scans at the end of the month, and hopefully the scans will show that it is under control.",0,0
"You are a bright light, I will miss you.",0,0
The only lasting side effect appears to be a premature permanent loss of hair.,0,0
All I can do is fight the battles as they come.,0,0
"I feel fine except for the legs being weak and cold and the rocks in my shoes,   makes it hard to walk and my job requires a lot of walking.",0,0
He's not mad at you he's mad at the cancer.,0,0
November 14th will mark one year since <PERSON>'s passing.,0,0
"Brows or lashes, not as thick and supple as before, chemo therapy infusion.",0,0
"I couldn't find a website with free hats for cancer patients at heavenlyhats.org, but found one using  .com to get free hats for cancer patients.",0,0
<PERSON> wishing you the very best outcome tomorrow.,0,0
it has metasticized to her spine (they are trying to shrink that tumor with radiation)and one small lesion on her brain (think they will be attempting radiation on that too but the spine was top priority).,0,0
I'm triple positive invasive right breast ductal carcinoma.,0,0
Chemo begins after numerous imaging and lab tests.,0,0
"I'm in a baking mood today, so I'll bring my famous chocolate chip cookies and chocolate truffles.",0,0
Very recently my breast turned very red and itchy which lasted ten days.,0,0
"While many experts say that biopsies and surgeries don't spread cancer there are several papers that suggest just such a thing occurs.In any event, prostate cancer spreads.",0,0
"Thanks, guys, and I have to agree with soccerfreaks (not that that's any chore at all!)",0,0
"I had the same concerns, wig not staying on, etc....I have a wig but I dont wear it.",0,0
Or the social worker at her treatment center.,0,0
It is expected to vote on the issue soon.,0,0
Still scared but being here helps so very much.,0,0
"My tumors have been stable since I've been on cisplatin and alimpa however, the future of lung cancer treatment is in genetic mutations.",0,0
"The size of your prostate also plays a role.In fact, it is often mentioned that only 25% of men with elevated PSA are found to have prostate cancer upon biopsy.And yes, a retest is a great idea (testing mistakes do happen, infrequently).",0,0
Except for Marcia and her flu and <PERSON> with her back injury.,0,0
"Down here, we just have to deal with hurricanes but not snow ;-).",0,0
"They are a different type of rad treatment as someone said, but, they will still affect the area treated.",0,0
I was stage 3 and had my entire left lung removed.,0,0
I want everyone to be safe this holiday!,0,0
This is horrible news to hear and I am in tears as I write this.,0,0
"The news sounds much better, prayers continue!",0,0
"My husband <PERSON>, who had ext sclc, passed this morning at around 5:25am.",0,0
http://askdrmyers.wordpress.com/?utm_content=amyson%40comcast.net&utm_source=VerticalResponse&utm_medium=Email&utm_term=here&utm_campaign=Cancer%20Recurrence%20After%20Radical%20Prostatectomycontenthttp://askdrmyers.wordpress.com/category/hormone-resistance/page/2/I wish you the best in your fight.VGama,0,0
i go back to the specialists for my 6month next month and  plan on revisting it with them.,0,0
What type and stage of cancer do you have?,0,0
"I had no problems with them but when I had gotten them, the plastic surgeon said 10 years.",0,0
"I just have a few ""stragglers"" under the affected arm; and no odor/sweat per se~ but I DID get a moustache in exchange.",0,0
"I'm new here.....had upper left lung removed 12-4-01; doctors thought they ""got it all"" too; but there was one positive lymph node.",0,0
I know how terrible this damn disease is but keep the battle and I know I and many others are praying hard for you.,0,0
Talk to her and let her know your desires.,0,0
All: Negative 12 snip biopsy 27 months ago.,0,0
"Unfortunately, there's no magic trick to this.",0,0
I really do think in your favor is not only your youth but the use of 3 drugs to destroy the cancer.,0,0
The only option's that we have are to leave it or do the chemo and she said it would not really help.,0,0
But there is one thing he says that drives me insane.,0,0
"Oh well, another thing to live with I guess!",0,0
age 47 I was diagnosed May 12 2 tumors found,0,0
Just read back through several months of postings on this forum to get a sense of how widespread this problem is.The average lifespan for any newly diagnosed prostate cancer patient is 15 years if untreated.,0,0
Going over treatment options (His wisdom altimately won in the end over my panic!!).,0,0
"hi sherman,
my mom's cancer has spread to her lymph nodes and as of the last 2 cat scans they have not spread.",0,0
Just would like to talk to people who know what it's like.,0,0
Just being able to sit ant talk with someone who knows what you are going through can make all the difference.,0,0
He started to take morphine against the starting pain (skeleton) and lost a lot of energy.,0,0
I now cannot lift my left arm and need therapy to help.,0,0
Fear is normal because there are so many different possible reactions.,0,0
"The doctors have told me privately that he has 6-12 months and that I should make ""arrangements"" as they call it.",0,0
The docs scanned everything everywhere did blood work all of it.,0,0
"Oh, I'm female, 54 y/o former smoker, drinker and addict.",0,0
This last April 2005 his blood levels were elevated which alerted the oncologist he may have cancer again.,0,0
"It is encouraging to read these.Stay well,
<PERSON>",0,0
She is 80 years old (this Saturday) and has been smoking since about 20 years old.,0,0
"But I was told with my mastectomy, when the fluid was low enough, same with gall bladder and hysterectomy.",0,0
"If you get it done laparoscopically, I can honestly tell you my recovery time was practically nothing.",0,0
When I combed my hair is when I started noticing the strands on my comb.,0,0
Im new to this site and appreciate any conversation.,0,0
I wonder if a jury would find me guilty or not guilty IF......,0,0
We will contine on and keep hoping for good news but right now it is mostly waiting and hoping for some improvement with the leg issues.,0,0
"If he is, I hope that his medical team is aware and have given him medication for this.",0,0
The mammos were to start at age 35.,0,0
"I did buy a wig, mostly for my husband's sake.",0,0
I worked full time through the whole thing.,0,0
"Start a journal about what he says and the way he treats you, you may need documentation in the future.",0,0
"You can still post on everyone's thread, even if you aren't friends.",0,0
i always read her post she gave me and many others great advice.,0,0
I went in for a lymphoid test and it came back neg.,0,0
"However, he is continung with problems sleeping,(restless legs).",0,0
I'm wondering what I should do if I come down with it.,0,0
The cancer is spreading fast but I have faith in god.,0,0
"So, thinking about our mortality every second of the day is not normal nor healthy.",0,0
My left breast is as blue as they come.,0,0
"You look at your body, and it just doesn't seem like it's you (know what I mean).",0,0
"I'm not sure if she's getting better or worse, or if it's the medication that has her super lethargic.",0,0
Just to let you know that you are not alone.,0,0
She also has a sore scalp and can feel small pimple like spots which are tender to touch.,0,0
"But at least they finally called and set it for August 11, 09.",0,0
"Additionally, my ankles are swollen and keep me awake most of last night.",0,0
"Hubby has been on Zytiga for a little while now and his PSA is continuing to rise, maybe it's time to change to Xtandi.",0,0
"The test will be based on the results of that biopsy, if  any cores are found to be positive....it may be that no cancer will be foundThe alternative to another biopsy is drastic......so you have to live with a biopsyTargeting areas of suspicion, then an Artemis three dimensional biopsy is a  state of the art biopsy.",0,0
This is my my wife that has posted about my diagnoses.,0,0
"Most days, I'm pretty even but I do have some ""blue"" days.",0,0
"I'm sorry that you did not have good results today; I have not had experience with the situation you describe, so I will let someone else address that.",0,0
Sorry to hear about your MIL.,0,0
"I do believe the ""star surgeon"" left to another clinic but don't recall.",0,0
"He is Stage 4 , with bone METS everywhere except his skull, Lymphnodes and now six tumors in the liver.",0,0
It has been the scariest thing I have ever been through in my life.,0,0
"Nevermind the emotional and physical toll that 6-12 months of intense shock, fear and worry causes.",0,0
My doctor said that I am not a candidate for Watchful Waiting because of the Gleason Score.,0,0
I looked the surgeon up in Rate a Dr.after the fact and the news was not good.,0,0
He is contacting churches and trying to get us some help.,0,0
My question is should I be worried about this?,0,0
I will miss her immensely.,0,0
"I was talking to my mother while driving home from work and noticed a serious problem with her speech and memory, which is very odd for my mother, because she has a great memory.",0,0
I am being treated at a major medical center.,0,0
I finished taking that July 24... next week I start radiation.,0,0
"I have always been strong and  am a survivor, but even the strongest need support from time to time.",0,0
"Unfortunately, it's the fear of the unknown and until we go through it ourselves, we are unsure how our bodies will react.",0,0
Been fighting this damn disease for 22 months now.,0,0
"Get the scan, it's the best tool available to my knowledge.",0,0
Some foods can work against chemo.,0,0
When I returned he said he missed me and spent a hour with me when his mom was gone.,0,0
I had my left breast removed and the left arm and hand is the worst.,0,0
I show no other signs of lung cancer other than the scans.,0,0
I have a friend recently diagnosed with bronchial alveolar lung cancer in both lungs.,0,0
All my doc said was that I might miss a couple periods.,0,0
"Dear Friend,I have not been checking the discussion board regularly, and have only now learned of your disappointing report.",0,0
He gave her many vegetables with anticancer properties to eat along with the traditional radiation treatments.,0,0
Otherwise he is just shooting in the dark.,0,0
The surgery had removed my upper left lobe and a small portion of my lower left lobe.,0,0
"He has small cell lung cancer with metastasis in his liver, brain and lymph nodes and we like to think we are lucky to keep fighting.",0,0
"I was down to 97 lbs due to stress-I work in a school and parents would say to me ""you have to eat , you look like you are dieing""HOW DID they not know I was not sickly-and just stress?IF I HAD been deathly ill I am not sure HOW I would have taken it!Denise",0,0
He said they tug and pull on him when they clean him up and it hurts.,0,0
"<PERSON>, you seem so know so much,
I'm sooooo new to this, tomorrow is my dad first treatment to chemo, I don't know what kind or anything, all I know is that he had what they call adenocarcinoma stage 4.",0,0
"They don't make them lightly.Positive thoughts sent your way.Best,<PERSON>",0,0
Is it andenocarcinoma....did he wait before seeing the onc doc?,0,0
Then from one posting I see everything went bad from there.,0,0
The report states: Increased left perihilar infiltrative markings.,0,0
"Hope all went very well for you, Tina.",0,0
"I know that you would love to be here giving encouragement, support and love to everyone posting for an answer.",0,0
"These would be more significant factors than PSA which, as we know, is not cancer dependent.",0,0
I have experienced mild nausea the week that I take the Xeloda but it's not too bad.,0,0
Lost my husband to Leiomyosarcoma 2 years ago and have four children ages 5 - 20.,0,0
My diagnoses is invasive ductal carcinoma and ductal carcinoma in situ of the right breast.,0,0
At the age of 18 I was diagnosed with lung cancer.,0,0
"Is it to try locating the cancer or to rule out PCa in the presence of increasing PSA?Best wishes,VG",0,0
"Mass in lower lobe of left lung cancerous, confirmed by thorasic biopsy.",0,0
Any help would be appreciated j.,0,0
"I too, have renal cell carcinoma that spread to my lymph nodes and lungs.",0,0
I found great comfort in reading the rest of the message board stories.,0,0
Of course I need to break the 200# mark before I'm even ready for a 1/4 walking marathon.,0,0
After seeing a blood specialist I have been giving blood twice a week for 3 weeks.Tomorrow is the last time hopefully.The hemoglobin count has come down to the normal range.,0,0
My radiologist missed mine for 9 months - now I have a very big tumor behind the scar of an old one.,0,0
Amen RE--thank you for posting the gospel truth!,0,0
It will block my estrogen which my tumor was made up of.,0,0
"<PERSON>, yes getting the diagnosis is very terrifying.",0,0
The doctors still have some of the same do's and don'ts.,0,0
"And, some red itchy bumps with my boosters.",0,0
"Hi Ted
In this site you can find a connection of Remeex in USA; They say as I quote “SYLMAR, Calif. -- Tri-anim, the nation's largest provider of specialty sales and distribution solutions for healthcare, announced today that it will launch the Remeex[TM] Male Adjustable Sling System, a revolutionary minimally invasive adjustable product for male urinary incontinence, at AUA 2007 in Anaheim, California (May 19-24)”.",0,0
I've had radiation 5 years ago so i know what to expect but chemo is new to me and I am scard.,0,0
"Unfortunately, the bad news kept on coming yesterday.",0,0
"If possible, seek treatment at a major cancer center..",0,0
One day I walked into a friends apartment and he was eating a nectarine.,0,0
"However, I know him well and know he can't face the possibility of complications that would affect sexlife (which is way more important to him than to me).",0,0
"If your insurance covers PT, I'd go for it.",0,0
"The doctor just found ""spots"" on the spine.",0,0
<PERSON>: I copied this from the National Cancer Institute.,0,0
"I had the two right lobes of my lung removed at the end of September and still have pain, especially in my sternum and lower ribs.",0,0
I am uncertain if this is a blow off to me by the docs because it seems that everyone has four treatments.,0,0
"I am not sure of the stage, but after reading other peoples I realize that is question I need to ask doctor.",0,0
... <PERSON>'s Natural toothpaste and mouth wash also works !,0,0
I came home and started making coffee for myself the next am.,0,0
"When I came home, food nauseated me even though I knew I needed to eat.",0,0
I go to curves 3 times a week.,0,0
My rads were about 45000.00 for all 30.,0,0
Is this a cancer risk?,0,0
There is just so much i am not sure on and it's all new to me!,0,0
Any words of hope would be greatly aprreciated!!,0,0
"I certainly have good and bad days, I just try to enjoy them the best that I can.",0,0
"The side effects can be brutal for some people....I'm glad others respondedI have a daughter, too.....I know how this  has affected her, we are very, very close ....so I can understand your fear..and I lost my mother when I was just 25...so again, I understand as all of us on this get it....Please let us know how her second opinion goes...we truly care...
Big hugs, Nancy",0,0
I see you have children and that must be very hard.,0,0
My step-dad was diagnosed with prostate cancer in Oct 2004.,0,0
The DR said that side affects should be pretty minimal but that if there were any to call right away and they should be able to control them pretty well.,0,0
"He requires almost constant care, and I'm doing this basically by myself.",0,0
"He is losing more weight, looking so tired, and I am so worried for him.",0,0
"I guess regarding your question, my father did start saying he was going to die a few weeks/month prior to him passing.",0,0
"And, like MTN, was very lucky to have few side effects.",0,0
I just shaved my head last night as the hair loss was too much.,0,0
"Vgama,
Once again, thank you for your response.",0,0
Chemo obviously helps or doctors wouldn't use it.,0,0
... to be diagnosed by chance at an advanced stage and feel perfectly fine.,0,0
It's so sad to know that my husband dedicated 42 years of his life to NASA and this is the insurance they give him?,0,0
He was so sick he couldnt even talk on the phone.,0,0
Hi all -- BC survivor of 2 years.,0,0
I had no problem with the first 6 treatments of chemo and radiation and had a pet scan done appx two months after treatment.,0,0
He will first schedule a biopsy in the near future and your husband will need to follow the directions about taking antibiotics before and after the biopsy.,0,0
The cancer is in her left lung and has spread to local chest lymph nodes.,0,0
So young to have this happen.,0,0
"With hope,one can think,one can work,
                      one can dream.If you have hope,
                         you have everything.""",0,0
IMRT eliminated the tumor left after RFA plus some others I developed.,0,0
I was really hoping to get to talk to someone here.,0,0
"I had a nodule in my lower left lobe, same size as yours.",0,0
Earlier dinners with less liquids consumption at evening and afternoon naps helps a lot.,0,0
Somehow I felt more honest with myself and to others by wear the hats and didn't feel like I was hiding anything as much as I felt when I was covered up with a wig.,0,0
"I honestly don't know what to tell him, because I know how difficult it is to keep having set backs.",0,0
"Claudia, thanks for sharing the memorial service with us.",0,0
You have already been diagnosed with COPD bad enough to need an inhaler.,0,0
"My mother went into the hospital for other resons, but a chest x-ray was done and a spot was found on her left lung.",0,0
I'm very sorry for what you're having to live with CJ.,0,0
Oh- I most definitely plan on being with him for every appointment from this point on.,0,0
"Shucks, these days many of us survivors live to be caretakers too!",0,0
"I have the opportunity, drive and determination to fight .....having the opportunity to fight this is precious in itself.As <PERSON> once said, ""Yesterday is history, Tomorrow is a mystery, and today is a special gift - that's why they call it the present"" ...",0,0
Please help me cause i dont think the doctors are saying the truth to this matter.,0,0
I truly am sorry you had to find this board and my prayers go out to your mom.,0,0
"By the way, the only reason I could ever sound like a warrior is because I am about one year away from treatment.",0,0
I have some coughing and now chest pains due to radiation.,0,0
I am sure I didn't have that then.,0,0
My prayers will be with you also <PERSON>....<PERSON> and <PERSON>,0,0
A couple of great doctors are also part of the panel,0,0
It's funny when I pointed it out to my Pulminology rehab nurse.,0,0
I'm gonna go with immediate reconstruction following the left mastectomy bilaterally.,0,0
"I just found out today that my grandmother, 73 years old, has Stage 4 lung cancer that has also spread to her liver.",0,0
"When we got his death certificate, the cause of death was listed as LUNG CANCER.",0,0
"Second, for mouth sores they gave me prescription BMX it is maylox and lidocain.",0,0
